Invoice,StockCode,Description,Quantity,InvoiceDate,Price,CustomerID,Country
536365,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,2026-09-24 08:26:00,2.55,17850,United Kingdom
536365,71053,WHITE METAL LANTERN,6,2026-09-24 08:26:00,3.39,17850,United Kingdom
536365,84406B,CREAM CUPID HEARTS COAT HANGER,8,2026-09-24 08:26:00,2.75,17850,United Kingdom
536365,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,6,2026-09-24 08:26:00,3.39,17850,United Kingdom
536365,84029E,RED WOOLLY HOTTIE WHITE HEART.,6,2026-09-24 08:26:00,3.39,17850,United Kingdom
536365,22752,SET 7 BABUSHKA NESTING BOXES,2,2026-09-24 08:26:00,7.65,17850,United Kingdom
536365,21730,GLASS STAR FROSTED T-LIGHT HOLDER,6,2026-09-24 08:26:00,4.25,17850,United Kingdom
536366,22633,HAND WARMER UNION JACK,32,2026-09-24 08:28:00,1.85,17850,United Kingdom
536366,22632,HAND WARMER RED POLKA DOT,32,2026-09-24 08:28:00,1.85,17850,United Kingdom
C536379,D,Discount,-1,2026-09-24 09:41:00,27.50,14527,United Kingdom
536370,22728,ALARM CLOCK BAKELIKE PINK,24,2026-09-24 08:45:00,3.75,12583,France
536370,22727,ALARM CLOCK BAKELIKE RED,24,2026-09-24 08:45:00,3.75,12583,France
536370,22726,ALARM CLOCK BAKELIKE GREEN,12,2026-09-24 08:45:00,3.75,12583,France
536370,21724,PANDA AND BUNNIES STICKER SHEET,12,2026-09-24 08:45:00,0.85,12583,France
536370,21883,STARS GIFT TAPE,24,2026-09-24 08:45:00,0.65,12583,France
536370,10002,INFLATABLE POLITICAL GLOBE,48,2026-09-24 08:45:00,0.85,12583,France
536370,21791,VINTAGE HEADS AND SHOULDERS JEWELLERY STAND,24,2026-09-24 08:45:00,1.25,12583,France
536370,21035,SET/20 RED RETROSPOT PAPER NAPKINS,20,2026-09-24 08:45:00,0.85,12583,France
536370,22326,ROUND SNACK BOXES SET OF4 WOODLAND,24,2026-09-24 08:45:00,2.95,12583,France
536370,22629,SPACEBOY LUNCH BOX,24,2026-09-24 08:45:00,1.95,12583,France
536370,22659,LUNCH BOX I LOVE LONDON,24,2026-09-24 08:45:00,1.95,12583,France
536370,22631,CIRCUS PARADE LUNCH BOX,24,2026-09-24 08:45:00,1.95,12583,France
536370,22661,CHARLOTTE BAG DOLLY GIRL DESIGN,20,2026-09-24 08:45:00,0.85,12583,France
536370,21731,RED TOADSTOOL LED NIGHT LIGHT,24,2026-09-24 08:45:00,1.65,12583,France
536370,22900,SET 2 TEA TOWELS I LOVE LONDON,24,2026-09-24 08:45:00,2.95,12583,France
536370,21913,VINTAGE SEASIDE JIGSAW PUZZLES,12,2026-09-24 08:45:00,3.75,12583,France
536370,22992,REVOLVER WOODEN RULER,12,2026-09-24 08:45:00,1.95,12583,France
536370,22991,60 CAKE CASES VINTAGE CHRISTMAS,24,2026-09-24 08:45:00,0.55,12583,France
536370,22993,SET OF 4 PANTRY JELLY MOULDS,12,2026-09-24 08:45:00,1.25,12583,France
536371,22086,PAPER CHAIN KIT 50'S CHRISTMAS,80,2026-09-24 09:00:00,2.55,13748,United Kingdom
536372,22632,HAND WARMER RED POLKA DOT,64,2026-09-24 09:01:00,1.85,17850,United Kingdom
536372,22633,HAND WARMER UNION JACK,64,2026-09-24 09:01:00,1.85,17850,United Kingdom
536373,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,2026-09-24 09:02:00,2.55,17850,United Kingdom
536373,71053,WHITE METAL LANTERN,6,2026-09-24 09:02:00,3.39,17850,United Kingdom
536373,84406B,CREAM CUPID HEARTS COAT HANGER,8,2026-09-24 09:02:00,2.75,17850,United Kingdom
536373,20679,EDWARDIAN PARASOL RED,6,2026-09-24 09:02:00,4.95,17850,United Kingdom
536373,37370,RETRO COFFEE MUGS ASSORTED,6,2026-09-24 09:02:00,1.06,17850,United Kingdom
536373,21871,SAVE THE PLANET MUG,6,2026-09-24 09:02:00,1.06,17850,United Kingdom
536373,21071,VINTAGE BILLBOARD DRINK ME MUG,6,2026-09-24 09:02:00,1.06,17850,United Kingdom
536373,21068,VINTAGE BILLBOARD LOVE/HATE MUG,6,2026-09-24 09:02:00,1.06,17850,United Kingdom
536373,82483,WOOD 2 DRAWER CABINET WHITE FINISH,2,2026-09-24 09:02:00,4.95,17850,United Kingdom
536373,82486,WOOD S/3 CABINET ANT WHITE FINISH,4,2026-09-24 09:02:00,6.95,17850,United Kingdom
536373,82482,WOODEN PICTURE FRAME WHITE FINISH,6,2026-09-24 09:02:00,2.10,17850,United Kingdom
536373,82494L,WOODEN STAR CHRISTMAS SCANDINAVIAN,12,2026-09-24 09:02:00,1.25,17850,United Kingdom
536374,21258,VICTORIAN SEWING BOX LARGE,32,2026-09-24 09:09:00,10.95,15100,United Kingdom
536375,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,2026-09-24 09:32:00,2.55,17850,United Kingdom
536375,71053,WHITE METAL LANTERN,6,2026-09-24 09:32:00,3.39,17850,United Kingdom
536375,84406B,CREAM CUPID HEARTS COAT HANGER,8,2026-09-24 09:32:00,2.75,17850,United Kingdom
536375,20679,EDWARDIAN PARASOL RED,6,2026-09-24 09:32:00,4.95,17850,United Kingdom
536375,37370,RETRO COFFEE MUGS ASSORTED,6,2026-09-24 09:32:00,1.06,17850,United Kingdom
536375,21871,SAVE THE PLANET MUG,6,2026-09-24 09:32:00,1.06,17850,United Kingdom
536375,21071,VINTAGE BILLBOARD DRINK ME MUG,6,2026-09-24 09:32:00,1.06,17850,United Kingdom
536375,21068,VINTAGE BILLBOARD LOVE/HATE MUG,6,2026-09-24 09:32:00,1.06,17850,United Kingdom
536375,82483,WOOD 2 DRAWER CABINET WHITE FINISH,2,2026-09-24 09:32:00,4.95,17850,United Kingdom
536375,82486,WOOD S/3 CABINET ANT WHITE FINISH,4,2026-09-24 09:32:00,6.95,17850,United Kingdom
536375,82482,WOODEN PICTURE FRAME WHITE FINISH,6,2026-09-24 09:32:00,2.10,17850,United Kingdom
536375,82494L,WOODEN STAR CHRISTMAS SCANDINAVIAN,12,2026-09-24 09:32:00,1.25,17850,United Kingdom
536376,22114,HOT WATER BOTTLE TEA COAT,48,2026-09-24 09:32:00,3.45,15291,United Kingdom
536376,21733,RED HANGING HEART T-LIGHT HOLDER,64,2026-09-24 09:32:00,2.55,15291,United Kingdom
536377,22632,HAND WARMER RED POLKA DOT,6,2026-09-24 09:34:00,1.85,17850,United Kingdom
536377,22633,HAND WARMER UNION JACK,6,2026-09-24 09:34:00,1.85,17850,United Kingdom
536378,22386,JUMBO BAG PINK POLKADOT,10,2026-09-24 09:37:00,1.95,14688,United Kingdom
536378,85099C,JUMBO  BAG BAROQUE BLACK WHITE,10,2026-09-24 09:37:00,1.95,14688,United Kingdom
536378,21033,JUMBO BAG CHARLIE AND LOLA TOYS,10,2026-09-24 09:37:00,1.95,14688,United Kingdom
536378,20723,STRAWBERRY CHARLOTTE BAG,10,2026-09-24 09:37:00,0.85,14688,United Kingdom
536378,20725,LUNCH BAG RED RETROSPOT,10,2026-09-24 09:37:00,1.65,14688,United Kingdom
536378,21212,PACK OF 72 RETROSPOT CAKE CASES,120,2026-09-24 09:37:00,0.42,14688,United Kingdom
536378,22558,CLOTHES PINS RETROSPOT PACK 24,12,2026-09-24 09:37:00,1.45,14688,United Kingdom
536378,84991,60 TEATIME FAIRY CAKE CASES,24,2026-09-24 09:37:00,0.55,14688,United Kingdom
536378,21210,SET OF 72 RETROSPOT PAPER  DOILIES,12,2026-09-24 09:37:00,1.45,14688,United Kingdom
